Location name,Amount spent (RON)
Alba County,1133
Arad County,1184
Argeș County,1501
Bacău County,1454
Bihor County,1775
Bistrița-Năsăud County,759
Botoșani County,957
Brașov County,1802
Brăila County,768
Bucharest,8308
Buzău County,1236
Caraș-Severin County,932
Cluj County,2392
Constanța County,2223
Covasna County,528
Călărași County,498
Dolj County,1632
Dâmbovița County,1206
Galați County,1329
Giurgiu County,467
Gorj County,1041
Harghita County,898
Hunedoara County,1173
Ialomița County,624
Iași County,3969
Ilfov County,1128
Maramureș County,1314
Mehedinți County,626
Mureș County,1819
Neamț County,1548
Olt County,742
Prahova County,2303
Satu Mare County,929
Sibiu County,1175
Suceava County,1837
Sălaj County,632
Teleorman County,587
Timiș County,2195
Tulcea County,476
Unknown,≤100
Vaslui County,826
Vrancea County,930
Vâlcea County,1164
