Location name,Amount spent (EUR)
Alsace,553
Aquitaine,1162
Auvergne,312
Basse-Normandie,384
Bourgogne,431
Bretagne,954
Centre,594
Champagne-Ardenne,312
Corse,111
Franche-Comté,264
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,507
Languedoc-Roussillon,998
Limousin,177
Lorraine,628
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,947
New Caledonia,≤100
Nord-Pas-de-Calais,1068
Pays de la Loire,942
Picardie,446
Poitou-Charentes,461
Provence-Alpes-Côte d'Azur,1892
Reunion Island,101
Rhône-Alpes,2040
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3786
