Page ID,Page name,Disclaimer,Amount spent (EGP),Number of ads in Library
101659122186565,حزب مصر أكتوبر,حزب مصر أكتوبر,9567,2
287842647957979,EU International Partnerships,These ads ran without a disclaimer,1999,1
798673866859390,ETC TV,ETC TV,1476,1
273900239400893,نقابة المحامين المصرية,نقابة المحامين المصرية,1334,5
181524565276709,الهلال الأحمر المصري - Egyptian Red Crescent,الهلال الأحمر المصري - Egyptian Red Crescent,1293,8
100835565731657,Ahmed Amin Massoud - أحمد أمين مسعود,Ahmed Amin Massoud - أحمد أمين مسعود,889,3
145505648808327,Resala Charity Organization - جمعية رسالة للاعمال الخيرية,Resala Charity Organization - جمعية رسالة للاعمال الخيرية,671,1
113101433777546,Essam Diab - عصام دياب,Mahmoud Mostafa Ghorab,654,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,603,2
707511176015990,علاء حمدى قريطم - Alaa Hamdy Koraitem,علاء حمدى قريطم - Alaa Hamdy Koraitem,518,4
666470146818916,مؤسسة جبر القلوب,Mohamed Elsafty,443,5
106450555171099,مجدي البري - Magdy Elbery,مجدي البري - Magdy Elbery,419,6
298138254162621,النادي الليبرالي بالقاهرة,النادي الليبرالي بالقاهرة,356,1
104198795953934,جمعية أصدقاء مرضى الأورام بالشرقية,Mohamed Basher,312,1
192320965049184,الإعلامية نيفين منصور,Nivine Mansour,306,3
2035593490055091,النائب عمرو القطامي,سيد أحمد,265,1
478128558990850,womena,These ads ran without a disclaimer,201,1
106596941177052,صوت الغلابه 2022,These ads ran without a disclaimer,185,1
109366127595756,Ahmed dandash    الصفحه الرسميه للدكتور احمد دندش عضو مجلس النواب,Ahmed dandash    الصفحه الرسميه للدكتور احمد دندش عضو مجلس النواب,180,3
110877857406073,المهندس حسام لبن,المهندس حسام لبن,175,2
111765364910685,حماده عطيه,Mazen Attia,165,1
101586878327765,Hassanein Tawfiq - حسانين توفيق,Hassanein Tawfiq - حسانين توفيق,158,4
