Location name,Amount spent (DKK)
Capital Region of Denmark,56957
Central Denmark Region,39925
Faroe Islands,207
Greenland,≤100
North Denmark Region,14637
Region of Southern Denmark,31182
Unknown,≤100
Zealand Region,20160
