Location name,Amount spent (NOK)
Akershus,2893
Aust-Agder,599
Buskerud,1639
Finnmark,1271
Hedmark,972
Hordaland,3155
Møre og Romsdal,1576
Nord-Trøndelag,920
Nordland,1735
Oppland,912
Oslo,6217
Rogaland,2976
Sogn og Fjordane,542
Svalbard and Jan Mayen,≤100
Sør-Trøndelag,2101
Telemark,792
Troms,2568
Unknown,≤100
Vest-Agder,1152
Vestfold,1241
Østfold,1701
