Page ID,Page name,Disclaimer,Amount spent (ISK),Number of ads in Library
737169626371453,Heimildin,Stundin,25413,4
441539862613489,Foreldrasamtök gegn áfengisauglýsingum,Foreldrasamtök gegn áfengisauglýsingum,5077,2
444392138940597,"Intellecta - Ráðgjöf, ráðningar, rannsóknir",These ads ran without a disclaimer,3373,1
156161194561570,Kjarninn,Kjarninn,2875,1
276600879474149,Icelandic Wildlife Fund,The Icelandic Wildlife Fund,1925,2
584934658344027,Áslaug Arna Sigurbjörnsdóttir,Áslaug Arna Sigurbjörnsdóttir,1887,2
900088800059077,Ugla útgáfa,These ads ran without a disclaimer,1794,1
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,1527,2
128854307193614,Landsvirkjun,Landsvirkjun,1463,1
252936991503290,Vörður Fulltrúaráð Sjálfstæðisfélaganna í Reykjavík,"Vörður, fulltrúaráð sjálfstæðisfélaganna í Reykjavík",1058,1
429577173821764,Matvælaráðuneytið,matvælaráðuneytið,991,1
106979180938014,Samstöðin,Samstöðin ehf,886,2
114057194960942,Samstöðin: Fréttir,Samstöðin ehf,860,2
162409941250265,Sanna Reykjavík,Sósíalistaflokkur Íslands,737,1
110174782355645,Samfylkingin á Seltjarnarnesi,Samfylkingin á Seltjarnarnesi,534,1
405625165041,Reykjavíkurborg,These ads ran without a disclaimer,432,1
317158175535179,BitLife,These ads ran without a disclaimer,187,2
154893001218870,ADHD samtökin,ADHD samtökin,170,1
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100,2
104523644914955,The Primary Market - Professionals,These ads ran without a disclaimer,≤100,1
149647671720061,HARTMANN GROUP,These ads ran without a disclaimer,≤100,1
103497027790225,Fonos,These ads ran without a disclaimer,≤100,2
