Location name,Amount spent (HUF)
Baranya County,71445
Borsod-Abaúj-Zemplén County,109314
Budapest,458466
Bács-Kiskun County,81885
Békés County,57038
Csongrád County,84393
Fejér County,70435
Győr-Moson-Sopron County,70420
Hajdú-Bihar County,97921
Heves County,49564
Jász-Nagykun-Szolnok County,58918
Komárom-Esztergom County,48282
Nógrád County,28578
Pest County,169313
Somogy County,50967
Szabolcs-Szatmár-Bereg County,85488
Tolna County,36654
Unknown,≤100
Vas County,41373
Veszprém County,57335
Zala County,50506
