Location name,Amount spent (EGP)
Al Sharqia Governorate,6193
Alexandria Governorate,1505
Aswan Governorate,231
Asyut Governorate,349
Beheira Governorate,533
Beni Suef Governorate,222
Cairo Governorate,4693
Dakahlia Governorate,1039
Damietta Governorate,306
Faiyum Governorate,230
Gharbia Governorate,897
Giza Governorate,1111
Ismailia Governorate,317
Kafr el-Sheikh Governorate,425
Luxor Governorate,111
Matrouh Governorate,≤100
Minya Governorate,467
Monufia Governorate,663
New Valley Governorate,705
North Sinai Governorate,≤100
Port Said Governorate,222
Qalyubia Governorate,1070
Qena Governorate,257
Red Sea Governorate,135
Sohag Governorate,385
South Sinai Governorate,≤100
Suez Governorate,141
Unknown,≤100
