Location name,Amount spent (INR)
Andaman and Nicobar Islands,253
Andhra Pradesh,77587
Arunachal Pradesh,2317
Assam,18444
Bihar,50146
Chandigarh,2900
Chhattisgarh,36802
Dadra and Nagar Haveli,1232
Delhi,61000
Goa,4133
Gujarat,75240
Haryana,40132
Himachal Pradesh,15793
Jammu and Kashmir,13731
Jharkhand,21599
Karnataka,609769
Kerala,22557
Lakshadweep,≤100
Madhya Pradesh,87175
Maharashtra,181173
Manipur,3671
Meghalaya,4524
Mizoram,804
Nagaland,1143
Odisha,21280
Puducherry,1638
Punjab region,55456
Rajasthan,173347
Sikkim,1513
Tamil Nadu,45505
Telangana,47645
Tripura,2545
Unknown,205
Uttar Pradesh,180518
Uttarakhand,14939
West Bengal,47593
