Location name,Amount spent (PYG)
Alto Paraguay Department,20132
Alto Paraná Department,2410265
Amambay Department,219922
Asunción,2800480
Boquerón department,85323
Caaguazú Department,1103183
Caazapá Department,194823
Canindeyú Department,207638
Central Department,6494647
Chaco,≤100
Concepción Department (Paraguay),232746
Cordillera Department,498649
Guairá Department,274391
Itapúa Department,947250
Misiones Department,191940
Paraguarí Department,262065
Presidente Hayes Department,200510
San Pedro Department,301895
Unknown,882
Ñeembucú Department,165302
