Location name,Amount spent (EUR)
Alsace,524
Aquitaine,1102
Auvergne,344
Basse-Normandie,362
Bourgogne,454
Bretagne,871
Centre,633
Champagne-Ardenne,363
Corse,127
Franche-Comté,271
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,486
Languedoc-Roussillon,1111
Limousin,192
Lorraine,670
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,898
New Caledonia,≤100
Nord-Pas-de-Calais,1003
Pays de la Loire,903
Picardie,475
Poitou-Charentes,506
Provence-Alpes-Côte d'Azur,2132
Reunion Island,≤100
Rhône-Alpes,1957
Saint-Martin,≤100
Unknown,≤100
Île-de-France,3620
