Location name,Amount spent (JPY)
Aichi Prefecture,12372
Akita Prefecture,2059
Aomori Prefecture,1346
Chiba Prefecture,17408
Ehime Prefecture,1992
Fukui Prefecture,1462
Fukuoka Prefecture,28958
Fukushima Prefecture,2689
Gifu Prefecture,11005
Gunma Prefecture,2587
Hiroshima Prefecture,3887
Hokkaido,7632
Hyōgo Prefecture,12437
Ibaraki Prefecture,3976
Ishikawa Prefecture,3047
Iwate Prefecture,1359
Kagawa Prefecture,1761
Kagoshima Prefecture,2196
Kanagawa Prefecture,23100
Kumamoto Prefecture,4010
Kyoto Prefecture,6554
Kōchi Prefecture,791
Mie Prefecture,2584
Miyagi Prefecture,10498
Miyazaki Prefecture,1669
Nagano Prefecture,3813
Nagasaki Prefecture,3327
Nara Prefecture,2655
Niigata Prefecture,2932
Okayama Prefecture,4457
Okinawa Prefecture,6412
Osaka Prefecture,21085
Saga Prefecture,2535
Saitama Prefecture,12648
Shiga Prefecture,2827
Shimane Prefecture,4673
Shizuoka Prefecture,7274
Tochigi Prefecture,2468
Tokushima Prefecture,1645
Tokyo,66860
Tottori Prefecture,657
Toyama Prefecture,1331
Unknown,≤100
Wakayama Prefecture,1427
Yamagata Prefecture,1689
Yamaguchi Prefecture,2909
Yamanashi Prefecture,2037
Ōita Prefecture,3600
