Location name,Amount spent (DKK)
Capital Region of Denmark,40216
Central Denmark Region,18666
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,8433
Region of Southern Denmark,18322
Unknown,≤100
Zealand Region,18562
