Location name,Amount spent (COP)
Amazonas,12237
Antioquia,6054358
Arauca,128622
Atlantico,894974
Bolivar,882302
Boyaca,607735
Caldas,575168
Caqueta,170867
Casanare,367254
Cauca,561105
Cesar,241467
Choco,94390
Cordoba,600361
Cundinamarca,826388
Distrito Especial,4683660
Guainia,9020
Guaviare,55986
Huila,566102
La Guajira,169856
Magdalena,358161
Meta,580930
Narino,922766
Norte de Santander,1785898
Putumayo,163951
Quindio,194695
Risaralda,1212849
San Andres y Providencia,27273
Santander,1907863
Sucre,342254
Tolima,428876
Unknown,786
Valle del Cauca,5166003
Vaupes,895
Vichada,1685
