Location name,Amount spent (NZD)
Auckland Region,3248
Bay of Plenty Region,551
Canterbury,1049
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,260
Manawatu-Wanganui,498
Marlborough Region,101
Nelson Province,101
Niue,≤100
Northland Region,389
Otago,633
Southland,236
Taranaki,300
Tasman District,≤100
Tokelau,≤100
Unknown,≤100
Waikato,809
Wellington Region,709
West Coast,≤100
