Location name,Amount spent (EGP)
Al Sharqia Governorate,3004
Alexandria Governorate,3673
Aswan Governorate,442
Asyut Governorate,943
Beheira Governorate,1445
Beni Suef Governorate,616
Cairo Governorate,7359
Dakahlia Governorate,2794
Damietta Governorate,735
Faiyum Governorate,633
Gharbia Governorate,2332
Giza Governorate,1848
Ismailia Governorate,574
Kafr el-Sheikh Governorate,1200
Luxor Governorate,262
Matrouh Governorate,131
Minya Governorate,1011
Monufia Governorate,1497
New Valley Governorate,449
North Sinai Governorate,188
Port Said Governorate,420
Qalyubia Governorate,1630
Qena Governorate,655
Red Sea Governorate,278
Sohag Governorate,1006
South Sinai Governorate,117
Suez Governorate,319
Unknown,≤100
