Location name,Amount spent (USD)
Azuay Province,221
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,≤100
Chimborazo Province,≤100
Cotopaxi Province,≤100
El Oro Province,188
Esmeraldas Province,120
Galápagos Province,≤100
Guayas Province,771
Imbabura Province,≤100
Loja Province,109
Los Ríos Province,182
Manabí Province,418
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,615
Santa Elena Province,≤100
Santo Domingo de los Tsáchilas Province,≤100
Sucumbíos Province,≤100
Tungurahua Province,128
Unknown,≤100
Zamora-Chinchipe Province,≤100
