Location name,Amount spent (JPY)
Aichi Prefecture,8486
Akita Prefecture,1230
Aomori Prefecture,1280
Chiba Prefecture,9892
Ehime Prefecture,1378
Fukui Prefecture,1141
Fukuoka Prefecture,109293
Fukushima Prefecture,1946
Gifu Prefecture,2239
Gunma Prefecture,1657
Hiroshima Prefecture,3320
Hokkaido,7703
Hyōgo Prefecture,6577
Ibaraki Prefecture,3830
Ishikawa Prefecture,1508
Iwate Prefecture,1369
Kagawa Prefecture,1634
Kagoshima Prefecture,3556
Kanagawa Prefecture,17014
Kumamoto Prefecture,6484
Kyoto Prefecture,4154
Kōchi Prefecture,758
Mie Prefecture,1955
Miyagi Prefecture,8718
Miyazaki Prefecture,1851
Nagano Prefecture,3597
Nagasaki Prefecture,4648
Nara Prefecture,2188
Niigata Prefecture,1962
Okayama Prefecture,2212
Okinawa Prefecture,3346
Osaka Prefecture,18936
Saga Prefecture,5264
Saitama Prefecture,10647
Shiga Prefecture,2185
Shimane Prefecture,693
Shizuoka Prefecture,3629
Tochigi Prefecture,2345
Tokushima Prefecture,1116
Tokyo,40613
Tottori Prefecture,572
Toyama Prefecture,863
Unknown,≤100
Wakayama Prefecture,1411
Yamagata Prefecture,1351
Yamaguchi Prefecture,1685
Yamanashi Prefecture,1203
Ōita Prefecture,3833
