Location name,Amount spent (UYU)
Artigas Department,123
Canelones Department,335
Cerro Largo Department,121
Colonia Department,1265
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,212
Montevideo Department,1678
Paysandú Department,422
Rivera Department,139
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,163
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,109
Treinta y Tres Department,≤100
Unknown,≤100
