Location name,Amount spent (PYG)
Alto Paraguay Department,179558
Alto Paraná Department,12576755
Amambay Department,1292202
Asunción,12845596
Boquerón department,427908
Caaguazú Department,4296164
Caazapá Department,919104
Canindeyú Department,974473
Central Department,31635533
Concepción Department (Paraguay),1312483
Cordillera Department,2123444
Guairá Department,1366872
Itapúa Department,6005803
Misiones Department,1458003
Paraguarí Department,1307691
Presidente Hayes Department,703805
San Pedro Department,1451860
Unknown,3524
Ñeembucú Department,1009713
