Location name,Amount spent (INR)
Andaman and Nicobar Islands,256
Andhra Pradesh,95227
Arunachal Pradesh,1353
Assam,15409
Bihar,44812
Chandigarh,2036
Chhattisgarh,62495
Dadra and Nagar Haveli,850
Delhi,63216
Goa,3251
Gujarat,92656
Haryana,56670
Himachal Pradesh,10794
Jammu and Kashmir,6186
Jharkhand,16919
Karnataka,61465
Kerala,14786
Lakshadweep,≤100
Madhya Pradesh,118461
Maharashtra,205261
Manipur,192
Meghalaya,1260
Mizoram,1191
Nagaland,703
Odisha,14731
Puducherry,663
Punjab region,38002
Rajasthan,153871
Sikkim,1435
Tamil Nadu,56210
Telangana,81735
Tripura,1303
Unknown,≤100
Uttar Pradesh,127222
Uttarakhand,12582
West Bengal,118576
