Location name,Amount spent (INR)
Andaman and Nicobar Islands,367
Andhra Pradesh,37610
Arunachal Pradesh,1645
Assam,20480
Bihar,59108
Chandigarh,2578
Chhattisgarh,58649
Dadra and Nagar Haveli,1182
Delhi,43204
Goa,4049
Gujarat,54756
Haryana,39704
Himachal Pradesh,15959
Jammu and Kashmir,9905
Jharkhand,17073
Karnataka,50378
Kerala,12532
Lakshadweep,≤100
Madhya Pradesh,108231
Maharashtra,177089
Manipur,656
Meghalaya,3276
Mizoram,2437
Nagaland,1207
Odisha,17283
Puducherry,5581
Punjab region,33283
Rajasthan,131574
Sikkim,1492
Tamil Nadu,138430
Telangana,110403
Tripura,2348
Unknown,128
Uttar Pradesh,116243
Uttarakhand,13859
West Bengal,67556
