Location name,Amount spent (TRY)
Adana Province,3234
Adıyaman Province,217
Afyonkarahisar Province,721
Aksaray Province,840
Amasya Province,2591
Ankara Province,14698
Antalya Province,2516
Ardahan Province,≤100
Artvin Province,213
Aydın Province,1221
Ağrı Province,113
Balıkesir Province,3471
Bartın Province,1090
Batman Province,240
Bayburt Province,≤100
Bilecik Province,114
Bingöl Province,≤100
Bitlis Province,159
Bolu Province,222
Burdur Province,206
Bursa Province,2899
Denizli Province,1741
Diyarbakır Province,611
Düzce Province,213
Edirne Province,157
Elazığ Province,242
Erzincan Province,760
Erzurum Province,252
Eskişehir Province,715
Gaziantep Province,1361
Giresun Province,4567
Gümüşhane Province,124
Hakkâri Province,≤100
Hatay Province,1169
Isparta Province,521
Istanbul Province,95782
Iğdır Province,≤100
Kahramanmaraş Province,634
Karabük Province,383
Karaman Province,166
Kars Province,≤100
Kastamonu Province,2408
Kayseri Province,1093
Kilis Province,≤100
Kocaeli Province,1817
Konya Province,3414
Kütahya Province,340
Kırklareli Province,513
Kırıkkale Province,272
Kırşehir Province,159
Malatya Province,291
Manisa Province,1474
Mardin Province,288
Mersin Province,19349
Muğla Province,656
Muş Province,≤100
Nevşehir Province,156
Niğde Province,188
Ordu Province,8346
Osmaniye Province,329
Rize Province,242
Sakarya Province,1258
Samsun Province,7393
Siirt Province,≤100
Sinop Province,710
Sivas Province,303
Tekirdağ Province,688
Tokat Province,2157
Trabzon Province,933
Tunceli Province,≤100
Unknown,≤100
Uşak Province,1061
Van Province,249
Yalova Province,222
Yozgat Province,553
Zonguldak Province,481
Çanakkale Province,1153
Çankırı Province,226
Çorum Province,308
İzmir Province,4425
Şanlıurfa Province,1677
Şırnak Province,144
