Location name,Amount spent (AUD)
Australian Capital Territory,1912
Jervis Bay Territory,≤100
New South Wales,18230
Norfolk Island,≤100
Northern Territory,399
Queensland,12664
South Australia,4140
Tasmania,1116
Unknown,≤100
Victoria,22767
Western Australia,7290
