Location name,Amount spent (HUF)
Baranya County,207684
Borsod-Abaúj-Zemplén County,298647
Budapest,1292692
Bács-Kiskun County,277840
Békés County,161889
Csongrád County,232061
Fejér County,218384
Győr-Moson-Sopron County,255274
Hajdú-Bihar County,273957
Heves County,145755
Jász-Nagykun-Szolnok County,190961
Komárom-Esztergom County,159237
Nógrád County,83545
Pest County,712449
Somogy County,141699
Szabolcs-Szatmár-Bereg County,257632
Tolna County,114963
Unknown,1368
Vas County,156479
Veszprém County,169981
Zala County,136711
