Location name,Amount spent (EUR)
Alsace,711
Aquitaine,1256
Auvergne,388
Basse-Normandie,433
Bourgogne,524
Bretagne,1065
Centre,838
Champagne-Ardenne,396
Corse,149
Franche-Comté,344
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,697
Languedoc-Roussillon,1218
Limousin,223
Lorraine,677
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1223
New Caledonia,≤100
Nord-Pas-de-Calais,1237
Pays de la Loire,1092
Picardie,553
Poitou-Charentes,618
Provence-Alpes-Côte d'Azur,2369
Reunion Island,≤100
Rhône-Alpes,2419
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4210
