Location name,Amount spent (ISK)
Capital Region,50170
Eastern Region,1643
Northeastern Region,3257
Northwestern Region,521
Southern Peninsula,3723
Southern Region,13660
Unknown,≤100
Western Region,690
Westfjords,521
