Location name,Amount spent (ZAR)
Eastern Cape,863
Free State,674
Gauteng,4108
KwaZulu-Natal,1529
Limpopo,529
Mpumalanga,508
North West,401
Northern Cape,127
Unknown,≤100
Western Cape,9029
