Location name,Amount spent (GTQ)
Alta Verapaz Department,7598
Baja Verapaz Department,3226
Chimaltenango Department,7546
Chiquimula Department,4898
El Progreso Department,2588
Escuintla Department,10171
Guatemala Department,143161
Huehuetenango Department,10445
Izabal Department,7080
Jalapa Department,3022
Jutiapa Department,4871
Petén Department,7468
Quetzaltenango Department,15356
Quiché Department,7966
Retalhuleu Department,4958
Sacatepéquez Department,7392
San Marcos Department,22761
Santa Rosa Department,3978
Sololá Department,5685
Suchitepéquez Department,8257
Totonicapán Department,4478
Unknown,≤100
Zacapa Department,3169
