Location name,Amount spent (CLP)
Antofagasta Region,71129
Araucanía Region,73900
Arica y Parinacota Region,13664
Atacama Region,29092
Aysén Region,11022
Bío Bío Region,179567
Coquimbo Region,71566
Los Lagos Region,49123
Los Ríos Region,20862
Magallanes y la Antártica Chilena Region,10004
Maule Region,69446
O'Higgins Region,66977
Santiago Metropolitan Region,786224
Tarapacá Region,38064
Unknown,139
Valparaíso Region,123490
