Location name,Amount spent (COP)
Amazonas,5362
Antioquia,9465275
Arauca,59067
Atlantico,1097390
Bolivar,188660
Boyaca,429382
Caldas,623232
Caqueta,85837
Casanare,67206
Cauca,371506
Cesar,768008
Choco,38232
Cordoba,441573
Cundinamarca,546416
Distrito Especial,3087111
Guainia,4496
Guaviare,14069
Huila,1196815
La Guajira,81906
Magdalena,406388
Meta,328261
Narino,159113
Norte de Santander,533560
Putumayo,409026
Quindio,87604
Risaralda,432827
San Andres y Providencia,8117
Santander,1664945
Sucre,511226
Tolima,325655
Unknown,268
Valle del Cauca,4727290
Vaupes,311
Vichada,5539
