Location name,Amount spent (CLP)
Antofagasta Region,124003
Araucanía Region,138972
Arica y Parinacota Region,36686
Atacama Region,30667
Aysén Region,43911
Bío Bío Region,304098
Coquimbo Region,131518
Los Lagos Region,108908
Los Ríos Region,53996
Magallanes y la Antártica Chilena Region,20354
Maule Region,130324
O'Higgins Region,103633
Santiago Metropolitan Region,1353446
Tarapacá Region,51798
Unknown,196
Valparaíso Region,260007
