Location name,Amount spent (EGP)
Al Sharqia Governorate,2010
Alexandria Governorate,5386
Aswan Governorate,443
Asyut Governorate,889
Beheira Governorate,1304
Beni Suef Governorate,523
Cairo Governorate,6724
Dakahlia Governorate,2182
Damietta Governorate,724
Faiyum Governorate,562
Gharbia Governorate,1720
Giza Governorate,1733
Ismailia Governorate,1177
Kafr el-Sheikh Governorate,862
Luxor Governorate,325
Matrouh Governorate,≤100
Minya Governorate,853
Monufia Governorate,1126
New Valley Governorate,150
North Sinai Governorate,170
Port Said Governorate,387
Qalyubia Governorate,2896
Qena Governorate,706
Red Sea Governorate,203
Sohag Governorate,885
South Sinai Governorate,≤100
Suez Governorate,296
Unknown,≤100
