Location name,Amount spent (PLN)
Greater Poland Voivodeship,5908
Kuyavian-Pomeranian Voivodeship,3983
Lesser Poland Voivodeship,5034
Lower Silesian Voivodeship,5235
Lublin Voivodeship,2660
Lubusz Voivodeship,2440
Masovian Voivodeship,12734
Opole Voivodeship,1502
Podkarpackie Voivodeship,2301
Podlaskie Voivodeship,1371
Pomeranian Voivodeship,4846
Silesian Voivodeship,6463
Unknown,≤100
Warmian-Masurian Voivodeship,2722
West Pomeranian Voivodeship,3629
Łódź Voivodeship,6195
Świętokrzyskie Voivodeship,1463
