Location name,Amount spent (IDR)
Aceh,779093
Bali,1887059
Bangka–Belitung Islands,563172
Banten,3613624
Bengkulu,714367
Central Java,9058635
Central Kalimantan,720686
Central Sulawesi,855640
East Java,11636298
East Kalimantan,1346294
East Nusa Tenggara,1539414
Gorontalo,384222
Jakarta,6170644
Jambi,889120
Lampung,2687178
Maluku,428652
North Kalimantan,242999
North Maluku,332921
North Sulawesi,1803112
North Sumatra,6019405
Papua (province),658233
Riau,2849998
Riau Islands Province,851514
South Kalimantan,720446
South Sulawesi,2935863
South Sumatra,3049856
Southeast Sulawesi,698907
Special Region of Yogyakarta,1893545
Unknown,6079
West Java,10211433
West Kalimantan,1390661
West Nusa Tenggara,1416374
West Papua,318003
West Sulawesi,352639
West Sumatra,1340446
