Location name,Amount spent (PKR)
Azad Kashmir,1443
Balochistan,4278
Federally Administered Tribal Areas,420
Gilgit-Baltistan,708
Islamabad Capital Territory,3821
Khyber Pakhtunkhwa,13068
Punjab,53945
Sindh,12723
Unknown,≤100
