Location name,Amount spent (IDR)
Aceh,795864
Bali,2170716
Bangka–Belitung Islands,447317
Banten,2253886
Bengkulu,945439
Central Java,9145791
Central Kalimantan,1053453
Central Sulawesi,1114728
East Java,11617706
East Kalimantan,1586635
East Nusa Tenggara,2219823
Gorontalo,654096
Jakarta,5370029
Jambi,1089428
Lampung,2136377
Maluku,714395
North Kalimantan,298396
North Maluku,568624
North Sulawesi,2050240
North Sumatra,4766090
Papua (province),938928
Riau,1894903
Riau Islands Province,862989
South Kalimantan,1094074
South Sulawesi,3216307
South Sumatra,2251178
Southeast Sulawesi,792978
Special Region of Yogyakarta,1491681
Unknown,247
West Java,12425230
West Kalimantan,2025058
West Nusa Tenggara,1465908
West Papua,525335
West Sulawesi,431467
West Sumatra,1329207
