Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
115518501869633,Axis Bank,Axis Bank,174453,6
109545244848137,Crafto,Kutumb App,47905,20
109937650579639,discovery+,discovery+,41598,33
105515435289387,Kaka Abhi Zinda Hai,Kaka Abhi Zinda Hai,36791,24
245708465537707,Bhupesh Baghel,Bhupesh Baghel,27737,3
347337386104390,Ramachandra Yadav,Ramachandra Yadav,26837,9
132689140088396,smilefoundation,smilefoundation,24737,41
109779048752146,Maharashtra Building and Other Construction worker's welfare Board,OM Enterprises,22114,22
103036987747307,Congress Sarkar Bharosa Barkarar,Congress Sarkar Bharosa Barkarar,21817,19
797927846899300,Flag Foundation of India,Flag Foundation of India,21298,31
1293402667423924,Bhupesh Hai To Bharosa Hai,Bhupesh Hai To Bharosa Hai,20703,17
121439954563203,Bharatiya Janata Party (BJP),Bharatiya Janata Party (BJP),20124,6
270666596375251,Jhatkaa.org,Jhatkaa.org,19374,29
568928239883450,The Times Of A Better India,The Times Of A Better India,10875,11
109779048752146,Maharashtra Building and Other Construction worker's welfare Board,Maharashtra Building and Other Construction worker's welfare Board,10855,22
101437656247049,Modi Quotes,Modi Quotes,10349,6
112058781694921,Fiigs India,Lebhaari,10317,14
123405501008524,Mercedes-Benz India,Mercedes-Benz India,9794,6
479998865355592,Aditya Birla Group,Aditya Birla Group,9701,7
402723946481290,Indian National Congress - Chhattisgarh,Indian National Congress - Chhattisgarh,9247,3
147721068911799,Sunil Ardad-सुनील आर्दड,Sunil Ardad-सुनील आर्दड,8603,3
30290552843,Greenpeace India,Greenpeace India Society,8590,25
103782051383159,School of Politics,School of Politics,7559,21
330760810293224,HelpAge India,HelpAge India,6853,32
805526169610318,Shubhashray Housing India,shubhashray housing india,6290,10
363744297012755,Shankar Chaudhary,Shankar Chaudhary,6216,5
101725179390221,Jay Prakash Sharma,Jay Prakash Sharma,6126,2
102973272373231,Madhya Pradesh CM Report Card,Madhya Pradesh CM Report Card,6027,13
114062185090206,Kadiyala Army - TDP,Clockwork Campaigns & Analytics,5735,6
132689140088396,smilefoundation,Smile Foundation,5500,8
1947296068903392,Vinay Saxena,Vinay Saxena,5496,8
21169267101,Give,Give,5206,12
147699975283367,Ranajagjitsinha Patil,Trimurti Techserv Pvt. Ltd.,5200,2
108492911417034,Satyam Srirangam - INC,Satyam Srirangam - INC,4994,8
110402195457221,देवभूमि के धामी,Devbhoomi Ke Dhami,4851,1
528307847248802,Indian National Congress -  Madhya Pradesh,Indian National Congress -  Madhya Pradesh,4847,34
107721289005515,धामी का विकल्प रहित संकल्प,धामी का विकल्प रहित संकल्प,4620,2
101566225414298,Innovation Mission Punjab,Innovation Mission Punjab,4615,2
165714096933078,Piyush Goyal,Piyush Goyal,4333,2
133493680681261,Borra Gnaneshwer Mudhiraj,Borra Gnaneshwer Mudhiraj,4231,1
444465999456731,योगेश्वर राजू सिन्हा,योगेश्वर राजू सिन्हा,4214,5
315939825251963,Vidya Sagar Karnati,Vidya Sagar Karnati,4160,1
183824978467083,Rao Inderjit Singh,Rao Inderjit Singh,4104,4
746568209028564,Dr. Basu Eye Hospital,Dr. Basu Eye Hospital,4069,4
1134675723239978,Shri Venkateshwara University,Shri Venkateshwara University,4036,3
105856108971005,Shiv Rajya,Shiv Rajya,3986,29
109868628369174,कांग्रेस मुक्त मध्य प्रदेश,कांग्रेस मुक्त मध्य प्रदेश,3978,12
104357142124794,Way2News Tamil Nadu,These ads ran without a disclaimer,3929,1
639252199805894,Andela Sriramulu Yadav,Andela Sriramulu Yadav,3868,19
107349862428436,WOW Women Awards 2023,Vyanka india,3765,6
710237479112855,Venkateshwara Group of Institutions,Venkateshwara Group of Institutions,3759,1
1867920993440398,Bonthu Rammohan Followers,Bonthu Rammohan Followers,3675,9
131008353232245,महाराष्ट्राचा विश्वास - एकनाथ,Shinde Sahab Fans,3593,7
108992338707380,Ankur Warikoo Courses,These ads ran without a disclaimer,3583,8
239465686127772,Jakkidi Prabhakar Reddy,Dominate Digital World,3443,5
105919999093332,Varta24/वार्ता 24,Varta24/वार्ता 24,3401,3
174283119250672,Bal Raksha Bharat,Bal Raksha Bharat,3344,8
101781849557465,Mahaveer Katariya,Mahaveer Katariya,3310,8
524774741256391,Kailash Raj Saini,Kailash Raj Saini,3306,5
1434753153489234,"DIPR, Department of Information & Public Relations, Rajasthan",DIPR,3266,4
127418046946464,Poster Nation,Poster Nation,3195,8
446315955838127,New India Junction,New India Junction,3159,11
104736419210593,PACE INDIA,PACE INDIA,3151,4
221256415973730,Ankuram IVF,Ankuram IVF,3143,8
104671205675253,Patrika Foundation,Patrika Foundation,3129,12
355739144465220,BJP Madhya Pradesh,Bharatiya Janata Party (BJP),3066,29
112652058517182,डॉ. विकास जैफ फाउंडेशन,डॉ. विकास जैफ फाउंडेशन,3002,12
108031222313207,इंदौरी भिया,इंदौरी भिया,2965,6
403923250035397,Murli Ram Gurjar,Murli Ram Gurjar,2897,4
117766321322298,MP ke Mann Mein Modi,mpkemannmeinmodi.com,2888,82
806181806121459,Harshvardhan NandKumar Singh Chouhan,Harshvardhan NandKumar Singh Chouhan,2869,12
155418314920954,Orchid HRD Trainings भाषणकला व राजकीय नेतृत्व कौशल्य प्रशिक्षण,Orchid HRD Trainings भाषणकला व राजकीय नेतृत्व कौशल्य प्रशिक्षण,2850,3
107334185444129,Charitism Global,Charitism Global,2747,1
1464414077034071,BJP ST Morcha,BJP ST Morcha,2740,1
115738097780657,लाडके मुख्यमंत्री- एकनाथ शिंदे,लाडके मुख्यमंत्री- एकनाथ शिंदे,2695,4
353424915078923,Naini Narotham Reddy,Naini Narotham Reddy,2634,1
922534064468145,Capt. Meenu Beniwal,Capt. Meenu Beniwal,2633,5
116268254861093,संत रविदास यात्रा,Graviti,2630,42
106067217612056,Bhumana Abhinay,Bhumana Abhinay,2604,8
110073434980235,Mera Madhya Pradesh,Mera Madhya Pradesh,2602,7
103772198061238,Kamlesh Jatav,Kamlesh Jatav,2599,24
110194685265228,Praveen Jha,Praveen Jha,2552,11
1433526693616228,Himachali Rishta - हिमाचली रिश्ता डॉट कॉम,Himachali Rishta - हिमाचली रिश्ता डॉट कॉम,2532,1
109076322510196,Saviour Education Abroad,Saviour Education Abroad OPC Pvt Ltd,2516,5
102707962091936,BRM KTR Fans,BRM KTR Fans,2500,13
106138622320464,Venigandla Ramu,Venigandla Ramu,2476,4
