Location name,Amount spent (COP)
Amazonas,2657
Antioquia,6824263
Arauca,36860
Atlantico,783960
Bolivar,316316
Boyaca,356150
Caldas,154754
Caqueta,95788
Casanare,83786
Cauca,211885
Cesar,138472
Choco,47398
Cordoba,160708
Cundinamarca,550188
Distrito Especial,1577359
Guainia,1427
Guaviare,8344
Huila,225939
La Guajira,60192
Magdalena,190580
Meta,338322
Narino,123179
Norte de Santander,226842
Putumayo,41293
Quindio,129809
Risaralda,1234701
San Andres y Providencia,10267
Santander,336163
Sucre,92417
Tolima,213532
Unknown,856
Valle del Cauca,2587678
Vaupes,485
Vichada,1446
