Location name,Amount spent (USD)
Alabama,10121
Alaska,2324
American Samoa,≤100
Arizona,19848
Arkansas,6769
California,100022
Colorado,19819
Connecticut,10239
Delaware,3478
Florida,67091
Georgia,21749
Guam,≤100
Hawaii,2763
Idaho,4259
Illinois,37328
Indiana,22563
Iowa,8055
Kansas,5955
Kentucky,10167
Louisiana,16381
Maine,6887
Maryland,17251
Massachusetts,14489
Michigan,28087
Minnesota,18047
Mississippi,6744
Missouri,19420
Montana,6406
Nebraska,4448
Nevada,7272
New Hampshire,4271
New Jersey,24677
New Mexico,5136
New York,76765
North Carolina,23707
North Dakota,2602
Northern Mariana Islands,≤100
Ohio,28339
Oklahoma,11710
Oregon,11644
Pennsylvania,39599
Puerto Rico,≤100
Rhode Island,2147
South Carolina,11429
South Dakota,1567
Tennessee,22516
Texas,94303
Unknown,≤100
Utah,6001
Vermont,1839
Virgin Islands (U.S.),≤100
Virginia,30165
Washington,22091
"Washington, District of Columbia",5983
West Virginia,4902
Wisconsin,13755
Wyoming,1155
