Location name,Amount spent (DKK)
Capital Region of Denmark,46231
Central Denmark Region,24404
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,10546
Region of Southern Denmark,20732
Unknown,≤100
Zealand Region,13400
