Page ID,Page name,Disclaimer,Amount spent (GTQ),Number of ads in Library
161800283848513,CREO,CREO,15761,15
167924689961661,Unidad Nacional de la Esperanza,Unidad Nacional de la Esperanza,13260,87
196258110831945,Partido Valor,Partido Valor,9398,60
187073013532,Partido VIVA,Partido Político VIsión con Valores VIVA.,9330,24
274120089379114,Edmond Mulet,Edmond Mulet,6467,9
268285610002238,FCN Nación,FCN Nación,4948,8
1882597935332956,Partido VAMOS,Partido VAMOS,3859,14
436246383083297,TODOS,TODOS,3395,3
102762215788405,VOS.gt,VOS.gt,3275,10
105309049252552,No Somos Los Mismos,The Advertising Srategists,1878,6
122407921162127,Roberto González,Roberto González,1783,5
1882597935332956,Partido VAMOS,These ads ran without a disclaimer,1663,4
331961940541181,Partido Victoria,Partido Político Victoria,1473,7
174740409237665,TSE Guatemala,TSE Guatemala,1408,9
1504150093051201,Villa Nueva Ahora,Villa Nueva Ahora,1255,4
1612828795636861,Movimiento Semilla,Movimiento Semilla,1075,24
101372268406640,Unión Republicana,Unión Republicana,655,10
744048319050593,Partido Humanista de Guatemala -PHG-,Partido Humanista de Guatemala -PHG-,548,18
110582257361172,Partido Azul,Partido Azul,434,17
103757368748224,Rafael Espada,Rafael Espada,392,3
112060908565898,El Quetzalgt,These ads ran without a disclaimer,391,1
128230143592122,Guatemala Noticias,These ads ran without a disclaimer,391,1
238268799547266,TV Azteca Guatemala,TV Azteca Guatemala,341,14
107390778294561,Lewis Logan-Podemos Escuintla,Lewis Logan-Podemos Escuintla,328,6
100228912981471,PAN - Partido de Avanzada Nacional,PAN - Partido de Avanzada Nacional,314,5
105246011360718,Jorge Mario Hernández,These ads ran without a disclaimer,306,1
116583394634166,Todos Por Escuintla,Todos Por Escuintla,282,2
118694671223599,Asociación de Endocrinólogos de Guatemala,These ads ran without a disclaimer,234,3
115866788164577,Podemos Wiliam NOE Rivera,Bienpilas.com,228,4
110251578017886,Somos Villa Nueva,Somos Villa Nueva,210,1
102205156104079,Ludin Marroquín Jutiapa El Ganador,Ludin Marroquín Jutiapa El Ganador,182,4
1212640285520369,Asociación Política Caminemos,Asociación Política Caminemos,149,1
117622244670758,Celeste Hamm,Celeste Hamm,141,6
112521718100545,sanjuandediosfuel,These ads ran without a disclaimer,125,1
765790550460228,Comité Cívico Justicia,Comité Cívico Justicia,110,5
1482659402044863,Juan Manuel Giordano - Manolo,These ads ran without a disclaimer,109,2
105297572505475,Escuintla es Hermosa,Escuintla es Hermosa,108,1
106414945477006,TODOS Nueva Concepción,TODOS Nueva Concepción,103,2
106908785419555,Goberna Guatemala,Goberna,≤100,8
2363255300363966,Informativo Guate,Informativo Guate,≤100,3
105216189254936,Un Líder correcto para Suchitepéquez,Un Líder correcto para Suchitepéquez,≤100,2
102490342357338,Byron Geovanny Orellana Orellana,Byron Geovanny Orellana Orellana,≤100,1
115517391506168,Ciudad de Guatemala,Ciudad de Guatemala,≤100,2
101486344928292,Noticias Sibinal,Noticias Sibinal,≤100,1
116260554737818,Erick Nufio,These ads ran without a disclaimer,≤100,1
