Location name,Amount spent (NOK)
Akershus,5063
Aust-Agder,1044
Buskerud,2484
Finnmark,918
Hedmark,1591
Hordaland,5149
Møre og Romsdal,2167
Nord-Trøndelag,1108
Nordland,2420
Oppland,1522
Oslo,10360
Rogaland,4450
Sogn og Fjordane,852
Svalbard and Jan Mayen,≤100
Sør-Trøndelag,3310
Telemark,2051
Troms,2007
Unknown,≤100
Vest-Agder,2192
Vestfold,2331
Østfold,3220
