Location name,Amount spent (USD)
Alabama,13423
Alaska,3559
Arizona,33768
Arkansas,7738
California,120701
Colorado,23054
Connecticut,9852
Delaware,3989
Florida,71073
Georgia,34281
Hawaii,3598
Idaho,5934
Illinois,37280
Indiana,20218
Iowa,10887
Kansas,10768
Kentucky,17370
Louisiana,18053
Maine,8266
Maryland,23181
Massachusetts,19769
Michigan,38981
Minnesota,15778
Mississippi,8555
Missouri,17144
Montana,6077
Nebraska,6203
Nevada,12886
New Hampshire,6738
New Jersey,30034
New Mexico,6811
New York,92674
North Carolina,62054
North Dakota,1795
Ohio,49839
Oklahoma,11715
Oregon,14641
Pennsylvania,57673
Puerto Rico,≤100
Rhode Island,3851
South Carolina,26736
South Dakota,2114
Tennessee,24440
Texas,96516
Unknown,155
Utah,9808
Vermont,1702
Virgin Islands (U.S.),≤100
Virginia,34464
Washington,23846
"Washington, District of Columbia",11554
West Virginia,7068
Wisconsin,22684
Wyoming,1756
