Location name,Amount spent (COP)
Amazonas,739
Antioquia,2883797
Arauca,7851
Atlantico,375135
Bolivar,149362
Boyaca,30249
Caldas,65818
Caqueta,90929
Casanare,11830
Cauca,172608
Cesar,54092
Choco,10354
Cordoba,108874
Cundinamarca,282655
Distrito Especial,2256293
Guainia,602
Guaviare,3294
Huila,80371
La Guajira,34727
Magdalena,82719
Meta,268818
Narino,34976
Norte de Santander,174991
Putumayo,8484
Quindio,90295
Risaralda,445129
San Andres y Providencia,3330
Santander,96869
Sucre,79332
Tolima,223494
Unknown,≤100
Valle del Cauca,1581385
Vaupes,265
Vichada,441
