Location name,Amount spent (NZD)
Auckland Region,7897
Bay of Plenty Region,1357
Canterbury,2731
Gisborne District,279
Hawke's Bay,1215
Manawatu-Wanganui,1145
Marlborough Region,205
Nelson Province,286
Northland Region,857
Otago,981
Southland,393
Taranaki,631
Tasman District,170
Unknown,≤100
Waikato,2326
Wellington Region,2048
West Coast,125
