Location name,Amount spent (SEK)
Blekinge County,3193
Dalarna County,6898
Gotland County,1531
Gävleborg County,7125
Halland County,6619
Jämtland County,3304
Jönköping County,7870
Kalmar County,4863
Kronoberg County,4125
Norrbotten County,6559
Skåne County,32998
Stockholm County,65703
Södermanland County,6646
Unknown,≤100
Uppsala County,10873
Värmland County,6317
Västerbotten County,6600
Västernorrland County,5394
Västmanland County,6135
Västra Götaland County,42056
Örebro County,6987
Östergötland County,12530
