Location name,Amount spent (MYR)
Johor,937
Kedah,217
Kelantan,129
Kuala Lumpur,553
Labuan,≤100
Malacca,159
Negeri Sembilan,128
Pahang,142
Penang,177
Perak,256
Perlis,≤100
Putrajaya,≤100
Sabah,285
Sarawak,283
Selangor,838
Terengganu,151
Unknown,≤100
