Location name,Amount spent (HUF)
Baranya County,323248
Borsod-Abaúj-Zemplén County,437181
Budapest,1758532
Bács-Kiskun County,386826
Békés County,255148
Csongrád County,343299
Fejér County,341230
Győr-Moson-Sopron County,362943
Hajdú-Bihar County,398048
Heves County,226105
Jász-Nagykun-Szolnok County,271445
Komárom-Esztergom County,246526
Nógrád County,132069
Pest County,884583
Somogy County,217878
Szabolcs-Szatmár-Bereg County,362205
Tolna County,166103
Unknown,411
Vas County,198071
Veszprém County,273613
Zala County,210074
