Location name,Amount spent (UYU)
Artigas Department,115
Canelones Department,456
Cerro Largo Department,138
Colonia Department,166
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,242
Montevideo Department,1368
Paysandú Department,1157
Rivera Department,318
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,252
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,126
Treinta y Tres Department,190
Unknown,≤100
