Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,478
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,106
Dohuk Governorate,260
Erbil Governorate,602
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,131
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,126
Nineveh Governorate,196
Saladin Governorate,≤100
Sulaymaniyah Governorate,395
Unknown,≤100
Wasit Governorate,≤100
