Location name,Amount spent (EGP)
Al Sharqia Governorate,2110
Alexandria Governorate,1250
Aswan Governorate,250
Asyut Governorate,514
Beheira Governorate,660
Beni Suef Governorate,317
Cairo Governorate,3052
Dakahlia Governorate,1439
Damietta Governorate,375
Faiyum Governorate,270
Gharbia Governorate,1084
Giza Governorate,1157
Ismailia Governorate,328
Kafr el-Sheikh Governorate,669
Luxor Governorate,133
Matrouh Governorate,≤100
Minya Governorate,668
Monufia Governorate,682
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,186
Qalyubia Governorate,1228
Qena Governorate,315
Red Sea Governorate,175
Sohag Governorate,467
South Sinai Governorate,≤100
Suez Governorate,229
Unknown,≤100
