Page ID,Page name,Disclaimer,Amount spent (VEF),Number of ads in Library
636083079869147,COPEI Legítimo ODCA,an advertiser in Venezuela,10250000,1
645406838886541,Freddy Superlano,an advertiser in Venezuela,5862536,1
106297255064534,Julio Fuenmayor,an advertiser in Venezuela,5000000,2
11449543593,Carlos Ocariz,an advertiser in Venezuela,5000000,7
102909028767557,Nabil Maalouf,an advertiser in Venezuela,5000000,2
102929506152433,Dr. Emilio Flores Lyon,an advertiser in Venezuela,4995031,3
1382843902038454,Jony Rahal Oficial,an advertiser in Venezuela,3250000,8
101452412595312,contrapunto.comvzla,These ads ran without a disclaimer,2500000,1
150129451747062,Fundarte Alcaldia,an advertiser in Venezuela,2000000,1
596206767151427,Julio Borges,an advertiser in Venezuela,1750000,4
559836910796201,Alcaldía de Valencia,an advertiser in Venezuela,1250000,1
104916669193012,douglasrodriguezsilva,These ads ran without a disclaimer,1250000,1
170158683178852,contrapunto.com,These ads ran without a disclaimer,1250000,1
37896015468,"Embajada de los EE.UU., Venezuela",an advertiser in Venezuela,847505,1
123627937398333,Inversiones Termel,These ads ran without a disclaimer,746768,2
568134956712968,Orlando Chacón,an advertiser in Venezuela,250000,1
179855312221800,SERNA GROUP,These ads ran without a disclaimer,74305,1
113884784953956,valentinonarraciones,These ads ran without a disclaimer,3375,1
116373134780373,Emprende con Reparaciones y Mantenimiento,These ads ran without a disclaimer,≤100,1
556475357727793,World Organisation for Animal Health,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,1
114760971563756,RJ Now,These ads ran without a disclaimer,≤100,1
368119983327926,العربي الجديد,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
1990880717882519,The China Current,These ads ran without a disclaimer,≤100,1
1390745591150821,NRC - Norwegian Refugee Council,These ads ran without a disclaimer,≤100,1
19595510126,Annual Reviews,These ads ran without a disclaimer,≤100,1
110350770626164,Joel Castillo Comunica,These ads ran without a disclaimer,≤100,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,2
435272526866135,North American Kurdish Alliance - NAKA,These ads ran without a disclaimer,≤100,1
71613839321,Merca2.0,These ads ran without a disclaimer,≤100,1
