Location name,Amount spent (THB)
Amnat Charoen,191
Ang Thong,≤100
Ayutthaya,510
Bangkok,14077
Bueng Kan,≤100
Buriram,340
Chachoengsao,191
Chai Nat,244
Chaiyaphum,177
Chanthaburi,155
Chiang Mai,727
Chiang Rai,239
Chon Buri,592
Chumphon,268
Kalasin,166
Kamphaeng Phet,140
Kanchanaburi,294
Khon Kaen,477
Krabi,344
Lampang,239
Lamphun,105
Loei,114
Lop Buri,175
Mae Hong Son,≤100
Maha Sarakham,227
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,455
Nakhon Phanom,122
Nakhon Ratchasima,640
Nakhon Sawan,288
Nakhon Si Thammarat,1934
Nan,≤100
Narathiwat,118
Nong Bua Lam Phu,≤100
Nong Khai,111
Nonthaburi,756
Pathum Thani,602
Pattani,151
Phangnga,218
Phatthalung,210
Phayao,104
Phetchabun,173
Phetchaburi,157
Phichit,254
Phitsanulok,2960
Phrae,≤100
Phuket,1276
Prachin Buri,138
Prachuap Khiri Khan,264
Ranong,103
Ratchaburi,287
Rayong,274
Roi Et,228
Sa Kaeo,111
Sakon Nakhon,288
Samut Prakan,366
Samut Sakhon,353
Samut Songkhram,356
Saraburi,196
Satun,≤100
Sing Buri,≤100
Sisaket,278
Songkhla,826
Sukhothai,137
Suphan Buri,816
Surat Thani,10742
Surin,278
Tak,328
Trang,205
Trat,≤100
Ubon Ratchathani,549
Udon Thani,293
Unknown,≤100
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,127
Yasothon,714
