Location name,Amount spent (ZAR)
Eastern Cape,513
Free State,427
Gauteng,1898
KwaZulu-Natal,804
Limpopo,569
Mpumalanga,301
North West,211
Northern Cape,≤100
Unknown,≤100
Western Cape,1361
