Location name,Amount spent (RON)
Alba County,2207
Arad County,921
Argeș County,994
Bacău County,1091
Bihor County,781
Bistrița-Năsăud County,477
Botoșani County,508
Brașov County,1034
Brăila County,384
Bucharest,4214
Buzău County,507
Caraș-Severin County,358
Cluj County,1553
Constanța County,1026
Covasna County,328
Călărași County,263
Dolj County,960
Dâmbovița County,521
Galați County,980
Giurgiu County,244
Gorj County,423
Harghita County,621
Hunedoara County,647
Ialomița County,297
Iași County,1571
Ilfov County,529
Maramureș County,812
Mehedinți County,344
Mureș County,1040
Neamț County,1196
Olt County,385
Prahova County,1154
Satu Mare County,430
Sibiu County,583
Suceava County,768
Sălaj County,299
Teleorman County,327
Timiș County,1194
Tulcea County,286
Unknown,≤100
Vaslui County,592
Vrancea County,679
Vâlcea County,549
