Location name,Amount spent (PLN)
Greater Poland Voivodeship,8903
Kuyavian-Pomeranian Voivodeship,4789
Lesser Poland Voivodeship,7466
Lower Silesian Voivodeship,6651
Lublin Voivodeship,4200
Lubusz Voivodeship,3129
Masovian Voivodeship,14913
Opole Voivodeship,1858
Podkarpackie Voivodeship,4005
Podlaskie Voivodeship,2300
Pomeranian Voivodeship,5868
Silesian Voivodeship,8820
Unknown,≤100
Warmian-Masurian Voivodeship,2934
West Pomeranian Voivodeship,3945
Łódź Voivodeship,5569
Świętokrzyskie Voivodeship,2260
