Location name,Amount spent (MXN)
Aguascalientes,3800
Baja California,18541
Baja California Sur,4338
Campeche,13779
Chiapas,9202
Chihuahua,15076
Coahuila de Zaragoza,28164
Colima,2480
Distrito Federal,97788
Durango,4840
Guanajuato,13177
Guerrero,6789
Hidalgo,6875
Jalisco,57730
Michoacán de Ocampo,15357
Morelos,7165
Nayarit,2838
Nuevo León,69092
Oaxaca,8691
Puebla,14565
Querétaro Arteaga,12038
Quintana Roo,8569
San Luis Potosi,13992
Sinaloa,7022
Sonora,17365
State of Mexico,56280
Tabasco,7273
Tamaulipas,15110
Tlaxcala,2934
Unknown,≤100
Veracruz,22279
Yucatán,37978
Zacatecas,4257
