Location name,Amount spent (RON)
Alba County,979
Arad County,580
Argeș County,598
Bacău County,608
Bihor County,691
Bistrița-Năsăud County,358
Botoșani County,392
Brașov County,709
Brăila County,559
Bucharest,3767
Buzău County,443
Caraș-Severin County,277
Cluj County,926
Constanța County,898
Covasna County,295
Călărași County,274
Dolj County,942
Dâmbovița County,454
Galați County,700
Giurgiu County,204
Gorj County,375
Harghita County,466
Hunedoara County,577
Ialomița County,217
Iași County,1894
Ilfov County,578
Maramureș County,714
Mehedinți County,282
Mureș County,943
Neamț County,684
Olt County,359
Prahova County,920
Satu Mare County,438
Sibiu County,644
Suceava County,629
Sălaj County,269
Teleorman County,267
Timiș County,817
Tulcea County,339
Unknown,≤100
Vaslui County,334
Vrancea County,385
Vâlcea County,358
