Page ID,Page name,Disclaimer,Amount spent (SLL),Number of ads in Library
477385565779582,How to use abortion pill,These ads ran without a disclaimer,4800,1
101493902773017,SPIC-Turkey,These ads ran without a disclaimer,600,1
110046181945053,Heart USUK,These ads ran without a disclaimer,323,1
113353631588340,Tao from CGN,These ads ran without a disclaimer,≤100,1
108226812107555,Yang from CGN,These ads ran without a disclaimer,≤100,1
102176039105189,Letsget_realll,These ads ran without a disclaimer,≤100,1
203857292983532,AviationCV.com,These ads ran without a disclaimer,≤100,4
105920735675544,Li From CGN,These ads ran without a disclaimer,≤100,1
111069028486641,Chen from CGN,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
