Location name,Amount spent (SEK)
Blekinge County,2940
Dalarna County,5695
Gotland County,1554
Gävleborg County,5600
Halland County,6470
Jämtland County,2557
Jönköping County,6800
Kalmar County,4788
Kronoberg County,3335
Norrbotten County,4565
Skåne County,24621
Stockholm County,48222
Södermanland County,5826
Unknown,≤100
Uppsala County,7507
Värmland County,5152
Västerbotten County,4933
Västernorrland County,4494
Västmanland County,5041
Västra Götaland County,36072
Örebro County,6055
Östergötland County,8561
