Location name,Amount spent (IDR)
Aceh,869588
Bali,1927692
Bangka–Belitung Islands,457754
Banten,2714975
Bengkulu,853498
Central Java,11019431
Central Kalimantan,977072
Central Sulawesi,1196674
East Java,12462160
East Kalimantan,2053569
East Nusa Tenggara,1716656
Gorontalo,829047
Jakarta,4729489
Jambi,1124621
Lampung,2026175
Maluku,615801
North Kalimantan,297198
North Maluku,500394
North Sulawesi,2225810
North Sumatra,4236178
Papua (province),988175
Riau,2981378
Riau Islands Province,967813
South Kalimantan,1156987
South Sulawesi,2781549
South Sumatra,2795296
Southeast Sulawesi,902750
Special Region of Yogyakarta,1541384
Unknown,1131
West Java,12875984
West Kalimantan,1705877
West Nusa Tenggara,1723239
West Papua,476446
West Sulawesi,477804
West Sumatra,1433016
