Location name,Amount spent (USD)
Alabama,10491
Alaska,2156
American Samoa,≤100
Arizona,17578
Arkansas,6578
California,87780
Colorado,18106
Connecticut,9336
Delaware,2771
Florida,65158
Georgia,24352
Guam,≤100
Hawaii,2749
Idaho,3748
Illinois,34323
Indiana,21071
Iowa,8007
Kansas,6388
Kentucky,9627
Louisiana,15076
Maine,4570
Maryland,23547
Massachusetts,14334
Michigan,25421
Minnesota,16527
Mississippi,6218
Missouri,15417
Montana,16894
Nebraska,4326
Nevada,7034
New Hampshire,4287
New Jersey,25363
New Mexico,4502
New York,65574
North Carolina,22026
North Dakota,2124
Northern Mariana Islands,≤100
Ohio,30240
Oklahoma,13313
Oregon,11458
Pennsylvania,39659
Puerto Rico,≤100
Rhode Island,1903
South Carolina,14257
South Dakota,1818
Tennessee,22431
Texas,91958
Unknown,≤100
Utah,6507
Vermont,1565
Virgin Islands (U.S.),≤100
Virginia,23277
Washington,17440
"Washington, District of Columbia",7408
West Virginia,4561
Wisconsin,15135
Wyoming,1408
