Location name,Amount spent (EUR)
Alsace,706
Aquitaine,1303
Auvergne,354
Basse-Normandie,407
Bourgogne,466
Bretagne,1006
Centre,817
Champagne-Ardenne,392
Corse,181
Franche-Comté,302
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,583
Languedoc-Roussillon,1135
Limousin,204
Lorraine,737
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,957
New Caledonia,≤100
Nord-Pas-de-Calais,1276
Pays de la Loire,1116
Picardie,529
Poitou-Charentes,510
Provence-Alpes-Côte d'Azur,2107
Reunion Island,≤100
Rhône-Alpes,2156
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3921
